home_team,home_score,away_score,away_team,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_passes,away_passes,home_pass_success,away_pass_success,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_offsides,away_offsides,home_corners,away_corners
Germany,5,1,Scotland,20,1,10,0,73,27,683,251,94,75,15,9,2,1,0,1,4,0,5,0
Turkey,3,1,Georgia,22,14,8,5,56,44,573,441,89,85,10,7,2,1,0,0,2,1,5,5
Croatia,2,2,Albania,22,15,10,7,67,33,634,311,90,79,15,11,1,3,0,0,0,4,3,1
Hungary,1,3,Switzerland,6,15,2,7,49,51,438,452,83,84,9,13,2,2,0,0,3,2,2,6
Poland,1,3,Austria,15,15,3,9,47,53,390,443,79,84,15,15,4,2,0,0,0,2,4,3
Spain,3,0,Croatia,11,16,5,5,46,54,457,517,83,88,14,13,1,0,0,0,2,0,5,0
Romania,3,0,Ukraine,9,13,5,2,28,72,237,591,71,87,9,8,1,1,0,0,1,1,4,8
Italy,2,1,Albania,17,8,5,1,69,31,809,372,92,84,7,7,2,2,0,0,2,1,5,3
Portugal,2,1,Czech Republic,19,5,8,1,74,26,704,257,87,65,6,9,2,1,0,0,3,1,13,0
Poland,1,2,Netherlands,12,21,7,4,34,66,295,579,78,88,10,8,0,1,0,0,2,0,3,6
Slovakia,1,2,Ukraine,14,13,5,5,56,44,534,419,89,87,9,12,0,1,0,0,2,5,4,4
Turkey,0,3,Portugal,11,12,3,3,43,57,433,566,86,89,16,8,3,2,0,0,0,4,9,1
Germany,2,0,Hungary,19,11,7,4,70,30,718,308,93,80,12,10,2,2,0,0,0,1,11,7
Belgium,2,0,Romania,20,14,9,5,55,45,431,352,84,81,9,11,1,2,0,0,5,1,7,7
slovenia,1,1,Denmark,11,16,2,4,32,68,311,658,77,88,12,9,2,1,0,0,3,1,5,9
Scotland,1,1,Switzerland,12,11,3,4,47,53,374,420,76,81,11,11,3,2,0,0,0,5,5,8
slovenia,1,1,Serbia,11,15,4,4,39,61,346,527,77,87,13,8,2,4,0,0,0,0,4,9
Denmark,1,1,U.K.,16,12,7,4,51,49,548,528,86,86,13,5,3,1,0,0,4,0,4,2
Georgia,1,1,Czech Republic,5,27,1,12,38,62,310,493,79,87,12,17,4,5,0,0,0,1,5,11
Switzerland,1,1,Germany,4,18,3,3,33,67,331,636,79,89,14,12,3,1,0,0,2,2,2,9
Croatia,1,1,Italy,6,12,4,3,46,54,504,569,88,86,18,6,6,2,0,0,0,2,2,11
Spain,1,0,Italy,20,4,9,1,58,42,590,440,91,82,17,14,3,2,0,0,0,0,5,2
Serbia,0,1,U.K.,6,5,1,3,46,54,504,588,86,89,19,8,2,0,0,0,0,1,2,1
Belgium,0,1,Slovakia,16,10,5,4,61,39,573,367,85,77,14,10,3,1,0,0,2,1,5,7
Austria,0,1,France,6,14,3,3,52,48,476,453,84,86,18,11,5,2,0,0,0,1,6,2
Scotland,0,1,Hungary,4,14,0,5,58,42,501,357,82,72,16,13,1,5,0,0,3,5,2,6
Albania,0,1,Spain,10,16,4,3,41,59,407,577,83,89,6,15,2,1,0,0,1,2,2,6
Netherlands,0,0,France,8,15,4,3,37,63,398,660,88,92,13,8,1,0,0,0,4,0,3,6
France,1,1,Poland,19,10,8,3,58,42,548,405,87,84,12,15,1,3,0,0,1,0,11,3
Netherlands,2,3,Austria,11,9,2,5,54,47,428,404,83,78,10,16,0,3,0,0,1,1,5,2
Denmark,0,0,Serbia,10,5,3,1,54,46,562,488,84,81,11,5,2,2,0,0,0,3,8,2
U.K.,0,0,slovenia,12,4,4,1,74,26,746,275,91,73,11,9,3,2,0,0,2,0,6,0
Slovakia,1,1,Romania,13,9,4,5,59,41,437,323,78,69,11,10,1,3,0,0,3,1,5,1
Ukraine,0,0,Belgium,13,12,4,4,40,60,374,564,83,87,9,8,1,1,0,0,2,0,3,7
Georgia,2,0,Portugal,7,22,3,5,27,73,270,690,76,93,6,11,1,3,0,0,0,1,1,11
Czech Republic,1,2,Turkey,12,18,7,5,31,69,229,512,69,87,16,9,5,11,2,0,0,1,3,7
